SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,"Bogotá, D.C.",2.0,64.0,9.0,15.0,0.859375,1
Privado,Universitario,Pregrado,A distancia,"Economía, administración, contaduría y afines",Institución Universitaria/Escuela Tecnológica,Si,No,Masculino,Bolívar,2.0,27.0,6.0,5.0,0.7777777777777778,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,No,No,Femenino,Cesar,1.0,88.0,3.0,13.0,0.9659090909090909,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,No,No,Femenino,Cesar,2.0,104.0,5.0,14.0,0.9519230769230769,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,No,No,Masculino,Cesar,1.0,801.0,31.0,89.0,0.9612983770287141,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,No,No,Masculino,Cesar,2.0,825.0,47.0,81.0,0.943030303030303,1
Privado,Universitario,Pregrado,Virtual,"Ingeniería, arquitectura, urbanismo y afines",Institución Universitaria/Escuela Tecnológica,No,No,Femenino,Antioquia,1.0,132.0,6.0,16.0,0.9545454545454546,1
Privado,Universitario,Pregrado,Virtual,"Ingeniería, arquitectura, urbanismo y afines",Institución Universitaria/Escuela Tecnológica,No,No,Femenino,Antioquia,2.0,114.0,29.0,14.0,0.7456140350877193,1
Privado,Universitario,Pregrado,Virtual,"Ingeniería, arquitectura, urbanismo y afines",Institución Universitaria/Escuela Tecnológica,No,No,Masculino,Antioquia,1.0,417.0,20.0,68.0,0.9520383693045563,1
Privado,Universitario,Pregrado,Virtual,"Ingeniería, arquitectura, urbanismo y afines",Institución Universitaria/Escuela Tecnológica,No,No,Masculino,Antioquia,2.0,383.0,70.0,33.0,0.8172323759791122,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Valle del Cauca,1.0,840.0,4.0,91.0,0.9952380952380953,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Valle del Cauca,2.0,825.0,122.0,78.0,0.8521212121212121,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Valle del Cauca,1.0,202.0,1.0,28.0,0.995049504950495,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Valle del Cauca,2.0,212.0,35.0,32.0,0.8349056603773585,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Femenino,Sucre,1.0,154.0,11.0,19.0,0.9285714285714286,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Femenino,Sucre,2.0,148.0,15.0,8.0,0.8986486486486487,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Masculino,Sucre,1.0,391.0,33.0,30.0,0.9156010230179028,1
Oficial,Universitario,Pregrado,Presencial,"Ingeniería, arquitectura, urbanismo y afines",Universidad,Si,Si,Masculino,Sucre,2.0,397.0,30.0,42.0,0.924433249370277,1
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,12.0,2.0,0.0,0.8333333333333334,1
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,16.0,8.0,12.0,0.5,0
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,13.0,1.0,0.0,0.9230769230769231,1
Oficial,Especialización universitaria,Posgrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,12.0,9.0,8.0,0.25,0
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,425.0,18.0,52.0,0.9576470588235294,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,Cundinamarca,1.0,192.0,0.0,33.0,1.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,428.0,29.0,48.0,0.9322429906542056,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,Cundinamarca,2.0,242.0,0.0,53.0,1.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,304.0,14.0,36.0,0.9539473684210527,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,Cundinamarca,1.0,121.0,0.0,27.0,1.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,313.0,17.0,35.0,0.9456869009584664,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,Cundinamarca,2.0,139.0,0.0,22.0,1.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Cundinamarca,1.0,3.0,0.0,1.0,1.0,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Cundinamarca,1.0,1.0,0.0,0.0,1.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,No,No,Femenino,Chocó,1.0,594.0,25.0,62.0,0.9579124579124579,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,No,No,Femenino,Chocó,2.0,558.0,21.0,43.0,0.9623655913978495,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,No,No,Masculino,Chocó,1.0,664.0,33.0,53.0,0.9503012048192772,1
Oficial,Universitario,Pregrado,Presencial,Ciencias sociales y humanas,Universidad,No,No,Masculino,Chocó,2.0,646.0,26.0,50.0,0.9597523219814241,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Femenino,"Bogotá, D.C.",1.0,708.0,73.0,61.0,0.8968926553672316,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Femenino,"Bogotá, D.C.",2.0,685.0,41.0,66.0,0.9401459854014599,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Masculino,"Bogotá, D.C.",1.0,426.0,29.0,44.0,0.931924882629108,1
Privado,Universitario,Pregrado,Presencial,Ciencias de la salud,Institución Universitaria/Escuela Tecnológica,Si,Si,Masculino,"Bogotá, D.C.",2.0,428.0,32.0,45.0,0.9252336448598131,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,1.0,12.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,2.0,13.0,5.0,6.0,0.6153846153846154,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,1.0,6.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,2.0,5.0,1.0,0.0,0.8,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,1.0,14.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,2.0,13.0,6.0,6.0,0.5384615384615384,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,1.0,34.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,2.0,34.0,10.0,10.0,0.7058823529411764,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,1.0,10.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,2.0,11.0,5.0,5.0,0.5454545454545454,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,1.0,7.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,2.0,7.0,0.0,1.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,1.0,4.0,0.0,0.0,1.0,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Femenino,Atlántico,2.0,5.0,1.0,2.0,0.8,1
Privado,Especialización médico quirúrgica,Posgrado,Presencial,Ciencias de la salud,Universidad,Si,No,Masculino,Atlántico,1.0,12.0,0.0,0.0,1.0,1
