SECTOR IES,NIVEL DE FORMACIÓN,NIVEL ACADÉMICO,MODALIDAD,ÁREA DE CONOCIMIENTO,CARÁCTER IES,IES ACREDITADA,PROGRAMA ACREDITADO,SEXO,DEPARTAMENTO DE OFERTA DEL PROGRAMA,SEMESTRE,MATRICULADOS,GRADUADOS,MATRICULADOS PRIMER CURSO,TASA_NO_GRADUACION,RIESGO_DESERCION,PROB_RIESGO_ALTO,PRED_RIESGO
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Femenino,Norte de Santander,2.0,302.0,0.0,39.0,1.0,1,100.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Norte de Santander,1.0,11.0,0.0,4.0,1.0,1,96.0,1
Oficial,Universitario,Pregrado,Presencial,Ciencias de la educación,Universidad,Si,No,Masculino,Norte de Santander,2.0,11.0,0.0,1.0,1.0,1,97.0,1
Privado,Maestría,Posgrado,Virtual,Ciencias de la educación,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,53.0,21.0,19.0,0.6037735849056604,1,100.0,1
Privado,Maestría,Posgrado,Virtual,Ciencias de la educación,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,33.0,2.0,0.0,0.9393939393939394,1,84.0,1
Privado,Maestría,Posgrado,Virtual,Ciencias de la educación,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,34.0,10.0,10.0,0.7058823529411764,1,95.0,1
Privado,Maestría,Posgrado,Virtual,Ciencias de la educación,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,29.0,3.0,0.0,0.896551724137931,1,95.0,1
Privado,Doctorado,Posgrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,6.0,0.0,3.0,1.0,1,99.0,1
Privado,Doctorado,Posgrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,6.0,0.0,0.0,1.0,1,99.0,1
Privado,Doctorado,Posgrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,2.0,0.0,1.0,1.0,1,94.1,1
Privado,Doctorado,Posgrado,Presencial,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,2.0,0.0,0.0,1.0,1,84.9,1
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias sociales y humanas,Institución Universitaria/Escuela Tecnológica,No,No,Femenino,Antioquia,1.0,16.0,9.0,7.0,0.4375,0,42.4,0
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias sociales y humanas,Institución Universitaria/Escuela Tecnológica,No,No,Femenino,Antioquia,2.0,14.0,7.0,7.0,0.5,0,15.1,0
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias sociales y humanas,Institución Universitaria/Escuela Tecnológica,No,No,Masculino,Antioquia,1.0,3.0,2.0,2.0,0.3333333333333333,0,22.0,0
Privado,Especialización universitaria,Posgrado,Presencial,Ciencias sociales y humanas,Institución Universitaria/Escuela Tecnológica,No,No,Masculino,Antioquia,2.0,3.0,1.0,1.0,0.6666666666666667,1,70.1,1
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,15.0,8.0,15.0,0.4666666666666667,0,32.0,0
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,15.0,0.0,0.0,1.0,1,90.0,1
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,4.0,5.0,4.0,0.0,0,3.0,0
Privado,Especialización universitaria,Posgrado,Presencial,"Economía, administración, contaduría y afines",Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,3.0,0.0,0.0,1.0,1,24.2,0
Privado,Universitario,Pregrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",1.0,70.0,0.0,14.0,1.0,1,100.0,1
Privado,Universitario,Pregrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Femenino,"Bogotá, D.C.",2.0,80.0,0.0,19.0,1.0,1,100.0,1
Privado,Universitario,Pregrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",1.0,20.0,0.0,3.0,1.0,1,97.0,1
Privado,Universitario,Pregrado,Virtual,Ciencias sociales y humanas,Universidad,Si,No,Masculino,"Bogotá, D.C.",2.0,18.0,0.0,2.0,1.0,1,100.0,1
Oficial,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Femenino,Santander,1.0,7.0,1.0,1.0,0.8571428571428572,1,94.0,1
Oficial,Maestría,Posgrado,Presencial,Bellas artes,Universidad,Si,No,Femenino,Santander,2.0,9.0,3.0,1.0,0.6666666666666667,1,94.0,1
